province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Iowa,US,26-03-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),8,0,0,0,19183,Washington,
Iowa,US,15-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),101,4,0,97,19183,Washington,
Iowa,US,09-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),202,9,0,193,19183,Washington,
Iowa,US,21-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),124,5,0,119,19183,Washington,
Iowa,US,15-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),163,8,0,155,19183,Washington,
Iowa,US,21-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),174,8,0,166,19183,Washington,
Iowa,US,21-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),212,9,0,203,19183,Washington,
Iowa,US,26-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),132,5,0,127,19183,Washington,
Iowa,US,26-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),219,9,0,210,19183,Washington,
Iowa,US,26-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),184,8,0,176,19183,Washington,
Iowa,US,25-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),217,9,0,208,19183,Washington,
Iowa,US,25-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),132,5,0,127,19183,Washington,
Iowa,US,16-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),106,4,0,102,19183,Washington,
Iowa,US,10-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),159,7,0,152,19183,Washington,
Iowa,US,25-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),180,8,0,172,19183,Washington,
Iowa,US,10-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),206,9,0,197,19183,Washington,
Iowa,US,25-03-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),6,0,0,0,19183,Washington,
Iowa,US,01-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),189,8,0,181,19183,Washington,
Iowa,US,01-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),144,7,0,137,19183,Washington,
Iowa,US,01-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),34,2,0,0,19183,Washington,
Iowa,US,07-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),57,3,0,0,19183,Washington,
Iowa,US,16-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),208,9,0,199,19183,Washington,
Iowa,US,16-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),170,8,0,162,19183,Washington,
Iowa,US,10-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),70,3,0,0,19183,Washington,
Iowa,US,07-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),154,7,0,147,19183,Washington,
Iowa,US,07-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),200,9,0,191,19183,Washington,
Iowa,US,06-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),52,3,0,0,19183,Washington,
Iowa,US,06-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),152,7,0,145,19183,Washington,
Iowa,US,06-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),199,8,0,191,19183,Washington,
Iowa,US,24-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),216,9,0,207,19183,Washington,
Iowa,US,24-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),179,8,0,171,19183,Washington,
Iowa,US,17-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),172,8,0,164,19183,Washington,
Iowa,US,01-07-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),229,9,0,220,19183,Washington,
Iowa,US,11-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),79,3,0,0,19183,Washington,
Iowa,US,17-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),209,9,0,200,19183,Washington,
Iowa,US,06-07-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),243,9,0,234,19183,Washington,
Iowa,US,17-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),109,5,0,104,19183,Washington,
